utc,endpoint,head,occupancyCall
2026-08-19T16:03:06.917Z,QuickNodeEP1,45693549,HTTP 503
2026-08-19T16:03:06.917Z,CoinbasePub,45693549,HTTP 503
2026-08-19T16:04:07.766Z,QuickNodeEP1,45693579,HTTP 503
2026-08-19T16:04:07.766Z,CoinbasePub,45693579,HTTP 503
2026-08-19T16:05:07.798Z,QuickNodeEP1,45693609,HTTP 503
2026-08-19T16:05:07.798Z,CoinbasePub,45693609,HTTP 503
2026-08-19T16:06:08.301Z,QuickNodeEP1,45693639,HTTP 503
2026-08-19T16:06:08.301Z,CoinbasePub,45693640,HTTP 503
2026-08-19T16:07:08.268Z,QuickNodeEP1,45693669,HTTP 503
2026-08-19T16:07:08.268Z,CoinbasePub,45693670,HTTP 503
2026-08-19T16:08:08.288Z,QuickNodeEP1,45693699,HTTP 503
2026-08-19T16:08:08.288Z,CoinbasePub,45693700,HTTP 503
2026-08-19T16:09:08.311Z,QuickNodeEP1,45693729,HTTP 503
2026-08-19T16:09:08.311Z,CoinbasePub,45693730,HTTP 503
2026-08-19T16:10:08.393Z,QuickNodeEP1,45693759,HTTP 503
2026-08-19T16:10:08.393Z,CoinbasePub,45693760,HTTP 503
2026-08-19T16:11:08.316Z,QuickNodeEP1,45693789,HTTP 503
2026-08-19T16:11:08.316Z,CoinbasePub,45693790,HTTP 503
2026-08-19T16:12:07.926Z,QuickNodeEP1,45693819,HTTP 503
2026-08-19T16:12:07.926Z,CoinbasePub,45693819,HTTP 503
2026-08-19T16:13:08.350Z,QuickNodeEP1,45693849,HTTP 503
2026-08-19T16:13:08.350Z,CoinbasePub,45693850,HTTP 503
2026-08-19T16:14:07.859Z,QuickNodeEP1,45693879,127
2026-08-19T16:14:07.859Z,CoinbasePub,45693879,HTTP 503
2026-08-19T16:15:07.848Z,QuickNodeEP1,45693909,HTTP 503
2026-08-19T16:15:07.848Z,CoinbasePub,45693909,HTTP 503
2026-08-19T16:16:08.442Z,QuickNodeEP1,45693939,HTTP 503
2026-08-19T16:16:08.442Z,CoinbasePub,45693940,HTTP 503
2026-08-19T16:17:08.422Z,QuickNodeEP1,45693969,HTTP 503
2026-08-19T16:17:08.422Z,CoinbasePub,45693970,HTTP 503
2026-08-19T16:18:07.836Z,QuickNodeEP1,45693999,HTTP 503
2026-08-19T16:18:07.836Z,CoinbasePub,45693999,HTTP 503
2026-08-19T16:19:07.818Z,QuickNodeEP1,45694029,HTTP 503
2026-08-19T16:19:07.818Z,CoinbasePub,45694029,HTTP 503
2026-08-19T16:20:08.403Z,QuickNodeEP1,45694059,HTTP 503
2026-08-19T16:20:08.403Z,CoinbasePub,45694059,HTTP 503
2026-08-19T16:21:08.478Z,QuickNodeEP1,45694089,HTTP 503
2026-08-19T16:21:08.478Z,CoinbasePub,45694089,HTTP 503
2026-08-19T16:22:08.702Z,QuickNodeEP1,45694119,HTTP 503
